Keratinocyte (Corneocyte):Skin	FLG;IVL
keratinocyte:Skin	TP53;KRT10;MKI67;DDB2
epidermal Langerhans cell:Skin	CIITA;CD1A;CD207
prickle cell:Skin	KRT10;KRT1
Merkel cell:Skin	SYP;KRT20;CHGA
basal cell:Skin	DDB2;KRT5;KRT14;TP53;MKI67
melanocyte of skin:Skin	S100A2;SOX10;MLANA
Keratinocyte (Onychocyte):Skin	KRT10;KRT5;KRT17
keratinocyte stem cell:Skin	CD34;KRT15;CD200
secretory cell:Skin	MUC1
myoepithelial cell of sweat gland:Skin	GATA3;KRT26;KRT19;CNN1;S100A2;PIP
skin fibroblast:Skin	F3;CD34;VIM
mast cell:Skin	KIT;ENPP3;CCR3
dermal dendritic cell:Skin	ITGAE;ITGAM
macrophage:Skin	CD68;CD163
T-helper 1 cell:Skin	CD8A;CD3D;CD4
cytotoxic T cell:Skin	CD8A;CD3D
regulatory T cell:Skin	CD3D;CD4;FOXP3
natural killer cell:Skin	FCGR3A;CD3D;NCAM1
group 1 innate lymphoid cell:Skin	CD3D;NCAM1;TBX21
group 2 innate lymphoid cell:Skin	GATA3;CD3D;NCAM1
group 3 innate lymphoid cell:Skin	CD3D;NCAM1;RORC
B cell:Skin	CD79A;MS4A1;CD19
plasma cell:Skin	SDC1;CD79A;CD38
neutrophil:Skin	MPO;SPN
eosinophil:Skin	MPO;CD9
neuron:Skin	NEFHP1;CRCP;UCHL1
Schwann cell:Skin	NGFR;S100A2
perineurial cells:Skin	MUC1;CD34
endothelial cell:Skin	PECAM1;ERG
vascular associated smooth muscle cell:Skin	CNN1;CALD1
type I cell of carotid body:Skin	DRD2
pericyte cell:Skin	PDGFRB;MCAM
endothelial cell of lymphatic vessel:Skin	LYVE1;PDPN
subcutaneous fat cell:Skin	CALB2;S100B
Perineural cell:Skin	MUC1;CD34
