pacemaker cell (0)	HCN4, Cx45
endothelial cell (1)	PECAM1, VWF, CDH5
smooth muscle cell (2)	MYH11, TAGLN, ACTA2
fibroblast (3)	PDGFRA, GSN, DCN
cardiomyocyte (4)	NPPA, MYL4, MYL7
fibroblast (5)	PDGFRA, GSN, DCN
macrophage (6)	CD14, C1QA, CD68, FOLR2
neuronal (7)	PLP1, NRXN1, NRXN3
endothelial cell (8)	PECAM1, VWF, CDH5
smooth muscle cell (9)	MYH11, TAGLN, ACTA2
fibroblast (10)	PDGFRA, GSN, DCN
pericyte (11)	RGS5, ABCC9, KCNJ8
endothelial cell (12)	PECAM1, VWF, CDH5
smooth muscle cell (13)	MYH11, TAGLN, ACTA2
fibroblast (14)	PDGFRA, GSN, DCN
telocyte (interstitial like cell of cajal) (15)	CD34, vimentin
lymphocyte (16)	CD8A, NKG7, LCK
dendritic cell (17)	CD11b, CD11c, CD103, CD205
adipocyte (18)	GPAM, LEP, FASN
endothelial cell (19)	PECAM1, VWF, CDH5
smooth muscle cell (20)	MYH11, TAGLN, ACTA2
fibroblast (21)	PDGFRA, GSN, DCN
endothelial cell (22)	PECAM1, VWF, CDH5
smooth muscle cell (23)	MYH11, TAGLN, ACTA2
fibroblast (24)	PDGFRA, GSN, DCN
endothelial cell (25)	PECAM1, VWF, CDH5
smooth muscle cell (26)	MYH11, TAGLN, ACTA2
fibroblast (27)	PDGFRA, GSN, DCN
pacemaker cell (28)	HCN4, Cx45
adipocyte (29)	GPAM, LEP, FASN
endothelial cell (30)	PECAM1, VWF, CDH5
smooth muscle cell (31)	MYH11, TAGLN, ACTA2
fibroblast (32)	PDGFRA, GSN, DCN
endothelial cell (33)	PECAM1, VWF, CDH5
smooth muscle cell (34)	MYH11, TAGLN, ACTA2
fibroblast (35)	PDGFRA, GSN, DCN
cardiomyocyte (36)	NPPA, MYL4, MYL7
pacemaker cell (37)	HCN4, Cx45
fibroblast (38)	PDGFRA, GSN, DCN
macrophage (39)	CD14, C1QA, CD68, FOLR2
neuronal (40)	PLP1, NRXN1, NRXN3
endothelial cell (41)	PECAM1, VWF, CDH5
smooth muscle cell (42)	MYH11, TAGLN, ACTA2
fibroblast (43)	PDGFRA, GSN, DCN
pericyte (44)	RGS5, ABCC9, KCNJ8
pericyte (45)	RGS5, ABCC9, KCNJ8
endothelial cell (46)	PECAM1, VWF, CDH5
