basal (0)	TP63, KRT5, NGFR
goblet (1)	MUC5AC, SPDEF, MUC5B, TFF2
brush (2)	POU2F3, ASCL2, TRPM5
tracheobronchial ciliated cell (3)	FOXJ1, DYNLRB2, TUBB4B, RSPH1
neuroendocrine cells (4)	ASCL1, GRP, CALCA, CHGA
serous (5)	PIGR, SLPI, CFTR
smooth muscle cell of trachea (6)	ACTA2, LGR6, MYH11
submucosal gland ciliated duct cells (7)	FOXJ1, TUBA1A, DYNLRB2, TUBB4B, RSPH1
submucosal gland basal cells (8)	TP63, KRT5, FOXC1, KRT14, CTNNB1
submucosal gland secretory (9)	MUC5AC, SPDEF, MUC5B, TFF2
submucosal gland collecting duct epithelium (10)	BPIFA1
submucosal gland mucous cells (11)	MUC5B, SPDEF, AGR2
submucosal gland serous cells (12)	LYZ, PRR4, LPO, LTF
submucosal gland myoepithelium (13)	TP63, ACTA2, KRT5
chondrocyte (14)	Col2a1
arterial endothelial cell (15)	EFNB2, GJA5, BMX, DKK2
arterial endothelial cell (16)	EFNB2, GJA5, BMX, DKK2
vascular smooth muscle (17)	NTRK3, NOTCH3, HEY2
venous endothelial cell (18)	EFNB4, Nr2F2
venous endothelial cell (19)	EFNB4, Nr2F2
vascular smooth muscle (20)	NTRK3, NOTCH3
ciliated bronchial cell (21)	FOXJ1, RSPH1, DYNLRB2, TUBB4B, DNAH12
basal (22)	TP63, KRT5, NGFR
goblet (23)	MUC5AC, SPDEF, MUC5B, TFF2
neuroendocrine cells (24)	ASCL1, GRP, CHGA, CALCA
tuft (25)	POU2F3, ASCL2
ionocyte (26)	ASCL3, FOXI1, ATP6V0B, CFTR
bronchial serous cell (27)	LYZ, LTF, PIGR
bronchial smooth muscle cell (28)	ACTA2, LGR6, MYH11
chondrocyte (29)	Col2a1
arterial endothelial cell (30)	EFNB2, GJA5, BMX, DKK2
vascular smooth muscle (31)	NTRK3, NOTCH3, HEY2
venous endothelial cell (32)	EFNB4, Nr2F2
vascular smooth muscle (33)	NTRK3, NOTCH3, HEY2
submucosal gland ciliated duct cells (34)	FOXJ1, TUBA1A, DYNLRB2, TUBB4B, RSPH1
submucosal gland basal cells (35)	TP63, KRT5, FOXC1, KRT14, CTNNB1
submucosal gland secretory (36)	MUC5AC, SPDEF, MUC5B, TFF2
submucosal gland collecting duct epithelium (37)	BPIFA1
submucosal gland mucous cells (38)	MUC5B, SPDEF
submucosal gland serous cells (39)	PIGR, LYZ
