cardiac pacemaker cell of sinoatrial node:Heart	HCN4;GJC1
endothelial cell of artery:Heart	CDH5;PECAM1;VWF
smooth muscle cell of the coronary artery:Heart	MYH11;TAGLN
fibroblast:Heart	PDGFRA;GSN;DCN
cardiac muscle cell:Heart	FHL2;NPPA;MYL2;MYH6;TTN
cardiac atrium fibroblast:Heart	PDGFRA;GSN;DCN
macrophage:Heart	CD14;FOLR2;C1QA
neuronal:Heart	NRXN1;PLP1;NRXN3
cardiac endothelial cell:Heart	CDH5;PECAM1;VWF
vascular associated smooth muscle cell:Heart	MYH11;TAGLN
pericyte:Heart	KCNJ8;RGS5
telocyte (interstitial like cell of cajal):Heart	CD34;VIM
lymphocyte:Heart	MS4A1;NKG7;CD8A;LCK
dendritic cell, human:Heart	ITGAX;CD14;FOLR2;ITGAE;ITGAM;LY75;C1QA
fat cell:Heart	GPAM;LEP;FASN
blood vessel endothelial cell:Heart	TAGLN;MYH11;PECAM1;CDH5;VWF
cardiac ventricle fibroblast:Heart	PDGFRA;GSN;DCN
heart valve cell:Heart	CD34;VIM
valve interstitial cell:Heart	PDGFRA;GSN
mesothelial cell:Heart	SLC4A1;CALR;WT1;SLC4A3
epicardial adipocyte:Heart	GPAM;LEP;FASN
Schwann cell:Heart	SOX10
